id,name,title,first_submitted,primary_relation,theme,resource_type,modalities,secondary_relations,first_author,description,project_url,code_url,paper_url,source_url,verification_level,checked_on,publication_status,scope_basis
2506.18871,OmniGen2,OmniGen2: Towards Instruction-Aligned Multimodal Generation,2025-06-23,External,Image editing and in-context generation,Method + Benchmark,Image,Internal,"Wu, Chenyuan","Unifies generation, editing and in-context tasks; introduces OmniContext to evaluate reference-conditioned subject consistency.",https://vectorspacelab.github.io/OmniGen2,https://github.com/VectorSpaceLab/OmniGen2,https://arxiv.org/abs/2506.18871,https://arxiv.org/abs/2506.18871,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2506.15742,FLUX.1 Kontext,FLUX.1 Kontext: Flow Matching for In-Context Image Generation and Editing in Latent Space,2025-06-17,External,Image editing and in-context generation,Method + Benchmark,Image,Internal,Black Forest Labs,"Uses joint text-image context for generation and iterative editing; KontextBench separates local edits, reference consistency and text editing.",,,https://arxiv.org/abs/2506.15742,https://arxiv.org/abs/2506.15742,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2506.09612,Asymmetry Zigzag Sampling,Consistent Story Generation with Asymmetry Zigzag Sampling,2025-06-11,Internal,Subject and identity preservation,Method,Image,External,"Li, Mingxiao",Alternates asymmetric prompts and shared visual cues during training-free sampling to preserve subjects across story panels.,,https://github.com/Mingxiao-Li/Asymmetry-Zigzag-StoryDiffusion,https://arxiv.org/abs/2506.09612,https://arxiv.org/abs/2506.09612,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2506.08009,Self Forcing,Self Forcing: Bridging the Train-Test Gap in Autoregressive Video Diffusion,2025-06-09,Internal,Long-horizon video generation,Method,Video,,"Huang, Xun",Trains on self-generated context to reduce exposure bias; long extrapolation still requires separate consistency evaluation.,https://self-forcing.github.io/,,https://arxiv.org/abs/2506.08009,https://arxiv.org/abs/2506.08009,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2506.07977,OneIG-Bench,OneIG-Bench: Omni-dimensional Nuanced Evaluation for Image Generation,2025-06-09,External,Editing and reasoning evaluation,Benchmark,Image,Normative,"Chang, Jingjing","Separates prompt alignment, rendered text, reasoning, style and diversity into selectable image-generation evaluation dimensions.",,,https://arxiv.org/abs/2506.07977,https://arxiv.org/abs/2506.07977,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2506.03147,UniWorld,UniWorld: High-Resolution Semantic Encoders for Unified Visual Understanding and Generation,2025-06-03,External,Image editing and in-context generation,Method,Image,Internal,"Lin, Bin","Uses high-resolution semantic representations for unified perception, generation and image manipulation.",,,https://arxiv.org/abs/2506.03147,https://arxiv.org/abs/2506.03147,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2506.02161,TIIF-Bench,TIIF-Bench: How Does Your T2I Model Follow Your Instructions?,2025-06-02,External,Editing and reasoning evaluation,Benchmark,Image,,"Wei, Xinyu","Tests fine-grained instruction following across prompt complexity and length, including text rendering and style control.",https://a113n-w3i.github.io/TIIF_Bench/,,https://arxiv.org/abs/2506.02161,https://arxiv.org/abs/2506.02161,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2505.16707,KRIS-Bench,KRIS-Bench: Benchmarking Next-Level Intelligent Image Editing Models,2025-05-22,External,Editing and reasoning evaluation,Benchmark,Image,Normative,"Wu, Yongliang","Organizes knowledge-based editing around factual, conceptual and procedural knowledge, with a knowledge-plausibility evaluation protocol.",,,https://arxiv.org/abs/2505.16707,https://arxiv.org/abs/2505.16707,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2505.14683,BAGEL,Emerging Properties in Unified Multimodal Pretraining,2025-05-20,External,Image editing and in-context generation,Method,Image; Video,Internal,"Deng, Chaorui",Unified multimodal pretraining supports image manipulation and future-frame prediction; relevant as a backbone rather than a dedicated consistency guarantee.,https://bagel-ai.org/,,https://arxiv.org/abs/2505.14683,https://arxiv.org/abs/2505.14683,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2505.07818,DanceGRPO,DanceGRPO: Unleashing GRPO on Visual Generation,2025-05-12,Normative,Preference alignment and reward learning,Method,Image; Video,External; Internal,"Xue, Zeyue",Adapts group-relative policy optimization across diffusion and rectified-flow image and video generation tasks.,,,https://arxiv.org/abs/2505.07818,https://arxiv.org/abs/2505.07818,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2504.20690,IC-Edit,In-Context Edit: Enabling Instructional Image Editing with In-Context Generation in Large Scale Diffusion Transformer,2025-04-29,External,Image editing and in-context generation,Method,Image,Internal,"Zhang, Zechuan","Uses in-context diffusion-transformer generation, lightweight adaptation and early candidate filtering for instruction-guided editing.",https://river-zhang.github.io/ICEdit-gh-pages/,,https://arxiv.org/abs/2504.20690,https://arxiv.org/abs/2504.20690,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2504.17761,Step1X-Edit,Step1X-Edit: A Practical Framework for General Image Editing,2025-04-24,External,Image editing and in-context generation,Method + Benchmark,Image,Internal,"Liu, Shiyu",Combines multimodal instruction understanding with diffusion editing and introduces GEdit-Bench for real-user editing requests.,,,https://arxiv.org/abs/2504.17761,https://arxiv.org/abs/2504.17761,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2504.16915,DreamO,DreamO: A Unified Framework for Image Customization,2025-04-23,Internal,Subject and identity preservation,Method,Image,External,"Mou, Chong","Routes reference features and task conditions in a unified diffusion transformer for identity, subject, style and background customization.",,,https://arxiv.org/abs/2504.16915,https://arxiv.org/abs/2504.16915,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2504.12369,WorldMem,WORLDMEM: Long-term Consistent World Simulation with Memory,2025-04-16,Internal,Multi-shot narratives and persistent memory,Method,Video; 3D,Normative,"Xiao, Zeqi",Retrieves state-indexed visual memories to reconstruct previously visited scenes across viewpoint and temporal gaps.,,,https://arxiv.org/abs/2504.12369,https://arxiv.org/abs/2504.12369,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2504.02826,RISEBench,Envisioning Beyond the Pixels: Benchmarking Reasoning-Informed Visual Editing,2025-04-03,External,Editing and reasoning evaluation,Benchmark,Image,Internal; Normative,"Zhao, Xiangyu","Evaluates temporal, causal, spatial and logical editing instructions alongside appearance preservation and visual plausibility.",,https://github.com/PhoenixZ810/RISEBench,https://arxiv.org/abs/2504.02826,https://arxiv.org/abs/2504.02826,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2504.02160,UNO,Less-to-More Generalization: Unlocking More Controllability by In-Context Generation,2025-04-02,Internal,Subject and identity preservation,Method,Image,External,"Wu, Shaojin",Builds consistent multi-subject training pairs and uses multi-image conditioning to preserve subjects under compositional control.,,,https://arxiv.org/abs/2504.02160,https://arxiv.org/abs/2504.02160,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2503.21755,VBench-2.0,VBench-2.0: Advancing Video Generation Benchmark Suite for Intrinsic Faithfulness,2025-03-27,Normative,Physical and causal evaluation,Benchmark,Video,External; Internal,"Zheng, Dian","Extends video evaluation toward human fidelity, controllability, creativity, physics and commonsense rather than appearance alone.",,,https://arxiv.org/abs/2503.21755,https://arxiv.org/abs/2503.21755,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2503.15138,VideoGen-of-Thought,VideoGen-of-Thought: Step-by-step generating multi-shot video with minimal manual intervention,2025-03-19,Internal,Multi-shot narratives and persistent memory,Method,Video,External,"Zheng, Mingzhe","Combines storyline planning, identity-aware cross-shot propagation and latent transitions for coherent multi-shot video generation.",,,https://arxiv.org/abs/2503.15138,https://arxiv.org/abs/2503.15138,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2503.10592,CameraCtrl II,CameraCtrl II: Dynamic Scene Exploration via Camera-controlled Video Diffusion Models,2025-03-13,External,Structural and camera control,Method,Video,Internal,"He, Hao",Extends camera-controlled video generation toward wider scene exploration while preserving dynamic content and inter-clip continuity.,,,https://arxiv.org/abs/2503.10592,https://arxiv.org/abs/2503.10592,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2503.08280,OminiControl2,OminiControl2: Efficient Conditioning for Diffusion Transformers,2025-03-11,External,Structural and camera control,Method,Image,Internal,"Tan, Zhenxiong",Compresses condition tokens and reuses conditional features across denoising steps for efficient multi-condition image generation.,,,https://arxiv.org/abs/2503.08280,https://arxiv.org/abs/2503.08280,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2501.13918,VideoReward / VideoAlign,Improving Video Generation with Human Feedback,2025-01-23,Normative,Preference alignment and reward learning,Method + Evaluator + Dataset,Video,External; Internal,"Liu, Jie","Introduces multi-dimensional video preferences and reward modeling, with flow-based preference optimization and inference-time reward guidance.",https://gongyeliu.github.io/videoalign,,https://arxiv.org/abs/2501.13918,https://arxiv.org/abs/2501.13918,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2501.03847,Diffusion as Shader,Diffusion as Shader: 3D-aware Video Diffusion for Versatile Video Generation Control,2025-01-07,External,Structural and camera control,Method,Video; 3D,Internal,"Gu, Zekai","Uses 3D tracking videos as a common control interface for camera, motion and object manipulation with temporal correspondence.",https://igl-hkust.github.io/das/,https://github.com/IGL-HKUST/DiffusionAsShader,https://arxiv.org/abs/2501.03847,https://arxiv.org/abs/2501.03847,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
